name	country	gender	birthdate	competition_years	first	last
Aleksandr SAZONOV	RUS	M	None	None	1979	1979	1979
Ferenc BARANYAI	HUN	M	None	None	1979	1979	1979
Janos BANGA	HUN	M	None	None	1979	1979	1979
Istvan JUHASZ	HUN	M	None	None	1979	1979	1979
Attila STROHMAYER	HUN	M	None	None	1979	1979	1979
Jozsef PAPP	HUN	M	None	None	1979	1979	1979
Uwe BOECKELMANN	GER	M	None	None	1979	1979	1979
Ralf WIESE	GER	M	None	None	1979	1979	1979
BARKOWSKI	GER	M	None	None	None	None	None
SCHWITTLICH	GER	M	None	None	None	None	None
Christiane DORNBUSCH	GER	W	None	None	1979	1979	1979
Davide NOSEDA	ITA	M	None	None	1980,1979	1979	1980
Achim FISCHER	GER	M	None	None	1979,1978	1978	1979
Gabor HANGAU	HUN	M	None	None	None	None	None
Andras SAPI	HUN	M	None	None	None	None	None
Johannes HAFER	GER	M	None	None	1979,1978	1978	1979
Bernd BODENSTEIN	GER	M	None	None	1979	1979	1979
Gerald KISTNER	GER	M	None	None	1979,1978	1978	1979
Vladimir SJOMIN	RUS	M	None	None	1979	1979	1979
Vladimir DJOMIN	RUS	M	None	None	1979	1979	1979
Igor NIKITIN	RUS	M	None	None	1979	1979	1979
? MERXBAUER	CZE	M	None	None	1979	1979	1979
? MAESAND	ITA	M	None	None	1979	1979	1979
? MORDY	CAN	M	None	None	1979	1979	1979
? CLARK	CAN	M	None	None	1979	1979	1979
? GEORGIEV	BUL	M	None	None	1979	1979	1979
? MICHKOV	BUL	M	None	None	1979	1979	1979
? MARINOV	BUL	M	None	None	1979	1979	1979
Vladimir GOLODJAEVSKY	RUS	M	None	None	1979	1979	1979
Vladimir MARTYNOV	RUS	M	None	None	1979	1979	1979
Juri ZAITSEV	RUS	M	None	None	1979,1978	1978	1979
Aleksandr VOLNUHIN	RUS	M	None	None	1979	1979	1979
Sergei VASILICIKOV	RUS	M	None	None	1979	1979	1979
Stanislav PREOBRADZENSKY	RUS	M	None	None	1979	1979	1979
Mihail PONIKAROV	RUS	M	None	None	1979	1979	1979
E. RIFFLART	FRA	W	None	None	1979	1979	1979
C. FOIGNY	FRA	W	None	None	1979	1979	1979
V. GUILMEAU	FRA	W	None	None	1979	1979	1979
Geoffrey WEBB	AUS	M	None	None	1979	1979	1979
Gary HEFER	AUS	M	None	None	1979	1979	1979
Graeme WEARNE	AUS	M	None	None	1979	1979	1979
Stig Otto BEKKHUS	NOR	M	None	None	1979	1979	1979
Tom Rune KNUTSEN	NOR	M	None	None	1979,1976	1976	1979
Walter GOSTISSA	ITA	M	None	None	1979	1979	1979
Davide BOSCHIN	ITA	M	None	None	1979	1979	1979
Darko PETRETIC	YUG	M	None	None	1979	1979	1979
Mojmir SAJINCIC	YUG	M	None	None	1979	1979	1979
Vlado KRULIC	YUG	M	None	None	1979	1979	1979
Jan LARSSON	SWE	M	None	None	1979,1977	1977	1979
Rolf NILSSON	SWE	M	None	None	1979	1979	1979
James SMITH	CAN	M	None	None	1979	1979	1979
Daniel CHARLTON	CAN	M	None	None	1979	1979	1979
William EARLE	CAN	M	None	None	1979,1975,1974	1974	1979
James FARLE	CAN	M	None	None	1979	1979	1979
Thomas PHILLIPS	USA	M	None	None	1979	1979	1979
Jeff KROESEN	USA	M	None	None	1979	1979	1979
Craig DRAKE	USA	M	None	None	1979,1976	1976	1979
Bryan LEWIS	USA	M	None	None	1979,1978	1978	1979
Robert J. BRODY	USA	M	None	None	1979	1979	1979
Ron VELTHUIS	NED	M	None	None	1979	1979	1979
Bert VAN BAAL	NED	M	None	None	1979,1978	1978	1979
Hans PIETERMAN	NED	M	None	None	1979,1977,1974	1974	1979
Gelle KLEIN IKKINK	NED	M	None	None	1979	1979	1979
Richard STUART	GBR	M	None	None	1979	1979	1979
Paul JENKINSON	GBR	M	None	None	1979	1979	1979
John HAWKINS	AUS	M	None	None	1979,1977	1977	1979
Dennis HATCHER	AUS	M	None	None	1979,1978	1978	1979
Andrew MICHELMORE	AUS	M	None	None	1979,1975,1974	1974	1979
Geoffrey REES	AUS	M	None	None	1979,1978,1977,1975,1974	1974	1979
Gilles BEZOMBES	FRA	M	None	None	1979,1974	1974	1979
Thierry CLABAULT	FRA	M	None	None	1979	1979	1979
Alain VALADE	FRA	M	None	None	1979	1979	1979
Daniela DRUNCEA	ROU	W	2 Nov 1990	1990	2018,2018,2018,2017,2017,2017,2016,2016,2016,2015,2015,2015,2014,2014,2014,2013,2013,2013	2013	2018
Alin-George IACOB	ROU	M	2 Mar 1989	1989	None	None	None
Teodor OROS	ROU	M	27 Sep 1991	1991	2010	2010	2010
Marius-Ioan PIRGHIE	ROU	M	10 Jun 1991	1991	None	None	None
Xavier MACIA	CAN	M	None	None	1979,1975	1975	1979
William ROWELL	CAN	M	None	None	1979	1979	1979
Mark HYATT	CAN	M	None	None	1979	1979	1979
Barry HUEHN	CAN	M	None	None	1979	1979	1979
Yasuo ONOZAWA	JPN	M	None	None	1979	1979	1979
Masahiko KITAMURA	JPN	M	None	None	1979	1979	1979
Takashi ABURAYA	JPN	M	None	None	1979	1979	1979
Hideo OGAWA	JPN	M	None	None	1979	1979	1979
Takao YAMAMOTO	JPN	M	None	None	1979	1979	1979
Hirobumi YAMAMOTO	JPN	M	None	None	1979	1979	1979
Hideyuki ABE	JPN	M	None	None	1979	1979	1979
Masakazu NAITO	JPN	M	None	None	1979	1979	1979
Masaaki BANDO	JPN	M	None	None	1979	1979	1979
Heinz SCHALLER	SUI	M	None	None	1979,1978,1977	1977	1979
Mark CUSHWAY	GBR	M	None	None	1979	1979	1979
Peter BOOSEY	GBR	M	None	None	1979	1979	1979
Naakon WILHELMSEN	NOR	M	None	None	1979	1979	1979
Branko GRDOVIC	YUG	M	None	None	1979,1979	1979	1979
Karel KNIBBELER	NED	M	None	None	1979	1979	1979
Takao TANAKA	JPN	M	None	None	1979,1974	1974	1979
Nina ANTONIUK	RUS	W	None	None	1979,1978,1977	1977	1979
Tatiana BUNJAK	RUS	W	None	None	1979,1978,1977	1977	1979
Nadejda DERGATCHENKO	RUS	W	None	None	1979,1978,1977	1977	1979
Valentina JERMAKOVA	RUS	W	None	None	1979,1978	1978	1979
Petra KOEHLER	GER	W	None	None	1979,1978	1978	1979
Patricia BRINK	USA	W	None	None	1979	1979	1979
Mary O'CONNOR	USA	W	None	None	1979	1979	1979
Lenuta SANSU	ROU	W	None	None	1979,1977,1975	1975	1979
Katalin KODELKA	ROU	W	None	None	1979	1979	1979
Doina MARANDESCU	ROU	W	None	None	1979	1979	1979
Carmen CONSTANTINESCU	ROU	W	None	None	1979,1977	1977	1979
Ana ILLUTA	ROU	W	None	None	1979	1979	1979
Georgeta ANDREI	ROU	W	None	None	1979	1979	1979
Kimberley GORDON	CAN	W	None	None	1979,1978	1978	1979
Chris FERRARA	CAN	W	None	None	1979	1979	1979
Jacklin KELLY	CAN	W	None	None	1979,1977	1977	1979
Rumiana VETOVA	BUL	W	None	None	1979	1979	1979
Stanka VAKRILOVA	BUL	W	None	None	1979,1978,1975	1975	1979
Marie-Anne STAPEL	NED	W	None	None	1979,1978,1977	1977	1979
Inge PETENGA	NED	W	None	None	1979	1979	1979
Inge V. D. PUTTEN	NED	W	None	None	1979	1979	1979
Monique REINTJES	NED	W	None	None	1979,1977	1977	1979
Marleen BRUMMELKAMP	NED	W	None	None	1979,1978,1977	1977	1979
Ahmed ZAIDAN	IRQ	M	21 Mar 1992	1992	2013,2010,2010	2010	2013
Jacqueline STEFELS	NED	W	None	None	1979	1979	1979
Esther KRUISWIJK	NED	W	None	None	1979,1978	1978	1979
Clara BAYLES	GBR	W	None	None	1979	1979	1979
Nicky ZARACH	GBR	W	None	None	1979	1979	1979
Christine ROEPKE	GER	W	None	None	1979	1979	1979
Ani FILIPOVA	BUL	W	None	None	1979	1979	1979
Veronica JUGANARU	ROU	W	None	None	1979,1977	1977	1979
Natalia KOZOTSHKINA	RUS	W	None	None	1979	1979	1979
Zoltanne RIBARY	HUN	W	None	None	1979,1975	1975	1979
Lis SKOVGAARD-PETERSEN	DEN	W	None	None	1979	1979	1979
Rumiana PASHEVA	BUL	W	None	None	1979	1979	1979
Rumiana PRISSADOVA	BUL	W	None	None	1979	1979	1979
Iona MAHTAB	CAN	W	None	None	1979	1979	1979
Christine LALLEMENT	FRA	W	None	None	1979	1979	1979
Frederique PELLETIER	FRA	W	None	None	1979	1979	1979
Edith DUFFOUR	FRA	W	None	None	1979,1977	1977	1979
Christine PASCAL	FRA	W	None	None	1979	1979	1979
Cozema CRAWFORD	USA	W	None	None	1979,1978	1978	1979
Yvonne EARL	GBR	W	None	None	1979,1977	1977	1979
Bernadette CASEY	GBR	W	None	None	1979	1979	1979
Nicky MASON	GBR	W	None	None	1979	1979	1979
Renata ZIMMERMANNOVA	CZE	W	None	None	1979	1979	1979
Milena HOENIGOVA	CZE	W	None	None	1979	1979	1979
Ludmila PROSKOVA	CZE	W	None	None	1979	1979	1979
Jitka DAICOVA	CZE	W	None	None	1979	1979	1979
Ludmila PARFENOVA	RUS	W	None	None	1979,1973	1973	1979
Alena KREJZOVA	CZE	W	None	None	1979	1979	1979
Edit SUGAR	HUN	W	None	None	1979	1979	1979
Marko JOHANN	GER	M	6 Apr 1983	1983	2011	2011	2011
Maik ZENTNER	GER	M	29 Apr 1983	1983	2011	2011	2011
Arne SEELIG	GER	M	20 Jul 1989	1989	None	None	None
Janek HOREIS	GER	M	23 Oct 1989	1989	None	None	None
Dagmar CIMALOVA	CZE	W	None	None	1979,1978	1978	1979
Jitka HRADECNA	CZE	W	None	None	1979,1978	1978	1979
Katja VASSILEVA	BUL	W	None	None	1979,1978,1977	1977	1979
Marie-Claude SULLIN	FRA	W	None	None	1979,1978,1977,1975,1973	1973	1979
Mary RENOUF	AUS	W	None	None	1979	1979	1979
Raiko GROZDANOV	BUL	M	None	None	1979,1977	1977	1979
Plamen SAVOV	BUL	M	None	None	1979	1979	1979
Jan KRAL	CZE	M	None	None	1979	1979	1979
Tomas HLADNIK	CZE	M	None	None	1979	1979	1979
Jiri STEFAN	CZE	M	None	None	1979,1977,1973,1969	1969	1979
Andre PERROT	FRA	M	None	None	1979,1978,1977	1977	1979
Werner WENZEL	GER	M	None	None	1979	1979	1979
Mark JAMES	NZL	M	None	None	1979,1978	1978	1979
Victor KOKOSHINA	RUS	M	None	None	1979	1979	1979
Andrei RUDITSIN	RUS	M	None	None	1979,1977	1977	1979
William MAGENNIS	AUS	M	None	None	1979,1978	1978	1979
Steve NEWNHAM	AUS	M	None	None	1979	1979	1979
Timothy CLIFFORD	USA	M	None	None	1979	1979	1979
Romain DELACHAUME	FRA	M	13 Apr 1988	1988	2015,2015,2015,2015,2010	2010	2015
Constant RYNGAERT	FRA	M	21 Mar 1991	1991	2013,2012,2011,2011,2010	2010	2013
Louisa EL ALLALI	FRA	W	14 Jul 1991	1991	2012,2011	2011	2012
Mark BATHURST	GBR	M	None	None	1979	1979	1979
Jeremy THALGOTT	FRA	M	13 Feb 1988	1988	None	None	None
Maxime LABARTHE	FRA	M	20 Sep 1989	1989	2014,2011,2010	2010	2014
Bernard FASANELLI	FRA	M	8 Nov 1963	1963	2012	2012	2012
Stephanie MERLE	FRA	W	27 Aug 1971	1971	2012,2012	2012	2012
Olivier MAZENOD	FRA	M	26 Nov 1968	1968	2010	2010	2010
Perle BOUGE	FRA	W	1 Dec 1977	1977	2018,2018,2016,2016,2015,2015,2014,2014,2013,2013,2012,2012,2011,2011,2010,2010	2010	2018
Miodrag JANKOVIC	YUG	M	None	None	1979	1979	1979
Dragoslav JOVANOVIC	YUG	M	None	None	1979	1979	1979
Milorad KENIC	YUG	M	None	None	1979	1979	1979
Jovan TESMANOVIC	YUG	M	None	None	1979	1979	1979
Nickol UDOVICIC	CRO	M	17 Jan 1988	1988	2010	2010	2010
Jere GULIN	CRO	M	12 Jul 1992	1992	2010	2010	2010
Josip BRUSIC	CRO	M	11 Aug 1990	1990	2010	2010	2010
Ivica BAN	CRO	M	2 Oct 1992	1992	2011,2010	2010	2011
Sebastien BEZ	FRA	M	22 Apr 1992	1992	None	None	None
Istvan SODI	HUN	M	None	None	1979	1979	1979
Zoltan LADOCSI	HUN	M	None	None	1979	1979	1979
Vilmos POLGAR	HUN	M	None	None	1979	1979	1979
Janos GUNTHER	HUN	M	None	None	1979	1979	1979
Janos KELLER	HUN	M	None	None	1979	1979	1979
Adam STROHMAYER	HUN	M	None	None	1979	1979	1979
Laszlo TOTH	HUN	M	None	None	1979	1979	1979
Zoltan BENCZE	HUN	M	None	None	1979	1979	1979
Iordan PAVLOV	BUL	M	None	None	1979,1977	1977	1979
Stoiko HADILEV	BUL	M	None	None	1979,1978	1978	1979
Gennadi PERSHIN	RUS	M	None	None	1979	1979	1979
Aleksandr POLISHTCHUK	RUS	M	None	None	1979	1979	1979
Andrzej BOCIANOWSKI	POL	M	None	None	1979,1977,1974	1974	1979
Werner LUTZ	GER	M	None	None	1979	1979	1979
Gaelle LAQUIEZE	FRA	W	13 Jul 1993	1993	2013,2011,2010	2010	2013
Anais CORONNEL	FRA	W	1 Dec 1993	1993	None	None	None
Alexandrine CORREIA	FRA	W	3 Jan 1992	1992	2010	2010	2010
Jose Antonio LOPEZ BARRIOS	ESP	M	None	None	1979	1979	1979
Marina DELUGNY	FRA	W	3 May 1993	1993	2010	2010	2010
Daphne SOCHA	FRA	W	17 Feb 1993	1993	2015,2015,2014,2014,2013,2012,2011,2010	2010	2015
Ivan TZONEV	BUL	M	None	None	1979	1979	1979
Simon LEIFER	GBR	M	None	None	1979	1979	1979
Pat MACDONACH	IRL	M	None	None	1979	1979	1979
Chris NEELY	IRL	M	None	None	1979	1979	1979
Vladimir HAVEL	CZE	M	None	None	1979	1979	1979
Sverre NORDBERG	NOR	M	None	None	1979	1979	1979
Andre JOHANSEN	NOR	M	None	None	1979	1979	1979
Philippe CASTETS	FRA	M	None	None	1979	1979	1979
Vladimir PREDBRADZENSKY	RUS	M	None	None	1979,1978	1978	1979
Vincent HORSTLINK	NED	M	None	None	1979,1978,1977	1977	1979
Jacob VOS	NED	M	None	None	1979,1978,1977,1973	1973	1979
Jean-Claude ROUSSEL	FRA	M	None	None	1979,1978,1975,1974	1974	1979
David KEHOE	USA	M	None	None	1979	1979	1979
Steven KIESLING	USA	M	None	None	1979	1979	1979
Paul PRIOLEAU	USA	M	None	None	1979	1979	1979
Knut EYSSTAD	NOR	M	None	None	1979	1979	1979
Peter DALLMANN	DEN	M	None	None	1979	1979	1979
Vladimir MAKAROV	RUS	M	None	None	1979,1977	1977	1979
Imre JANDO	HUN	M	None	None	1979	1979	1979
Timothy BRITTON FOSTER	CAN	M	None	None	1979,1978,1975	1975	1979
Egibert BOEVE	NED	M	None	None	1979	1979	1979
Karel OSTERLOO	NED	M	None	None	1979	1979	1979
Vlastimil BERANEK	CZE	M	None	None	1979,1977,1972	1972	1979
Igor SEMISHEV	RUS	M	None	None	1979	1979	1979
Vitold KRANZELIC	CRO	M	27 Jan 1994	1994	None	None	None
Bogdan ZEHTINSKI	BUL	M	27 Jun 1993	1993	2011	2011	2011
Dimitar DIMITROV	BUL	M	1 Jun 1992	1992	None	None	None
Radoslav ANGELOV	BUL	M	22 Feb 1993	1993	2011	2011	2011
Bilyana STOYANOVA	BUL	W	4 Apr 1992	1992	None	None	None
Hristo DANEV	BUL	M	2 May 1994	1994	2012,2010	2010	2012
Ivan ANTOV	BUL	M	19 Jun 1993	1993	2013,2013,2013,2011,2010	2010	2013
Kristian VASILEV	BUL	M	18 Nov 1991	1991	2018,2018,2017,2017,2017,2017,2017,2016,2016,2016,2016,2015,2015,2015,2015,2014,2014,2014,2013,2013,2012,2012,2011,2011,2010	2010	2018
Teodora GESHEVA	BUL	W	3 Mar 1992	1992	2011,2011,2011,2010,2010	2010	2011
Teri GEORGIEV	BUL	M	4 Aug 1992	1992	2012,2012,2011,2011,2010,2010	2010	2012
Tihomir VELIKOV	BUL	M	21 Jul 1993	1993	None	None	None
Igor ZENZEROVIC	CRO	M	3 Oct 1992	1992	2010	2010	2010
Vjekoslav ZIKOVIC	CRO	M	14 Aug 1992	1992	2010	2010	2010
Kestutis ZUKAUSKAS	LTU	M	27 Mar 1992	1992	2010	2010	2010
Zygimantas GALISANSKIS	LTU	M	26 Jun 1992	1992	2018,2017,2017,2016,2015,2015,2014,2013,2012,2010	2010	2018
Dominykas BERNOTAS	LTU	M	30 Jul 1992	1992	2012,2011,2010	2010	2012
Kristijonas BERNOTAS	LTU	M	10 Jun 1994	1994	2012,2010	2010	2012
Tomas VINTILAS	LTU	M	23 Sep 1992	1992	2011,2010	2010	2011
Vilius JAKSTAS	LTU	M	2 Jun 1992	1992	None	None	None
Augustin LENORMAND	FRA	M	17 Apr 1993	1993	2011	2011	2011
Annelie BLEEKER	NED	W	17 Sep 1989	1989	None	None	None
Sjoerd DIJKSTRA	NED	M	16 May 1989	1989	2011	2011	2011
Rens DE BOER	NED	M	23 Oct 1988	1988	None	None	None
Jochum BEETSMA	NED	M	2 Mar 1988	1988	2010	2010	2010
Jenny DE JONG	NED	W	15 Oct 1990	1990	2015,2015,2014,2014,2012	2012	2015
Paulien KRAMER	NED	W	21 Jun 1983	1983	None	None	None
Caroline SCHOLTEN	NED	W	3 Oct 1983	1983	None	None	None
Jan Eric FREUND	NED	M	20 Jul 1989	1989	2011,2010	2010	2011
Marleen VERBURGH	NED	W	15 Jun 1990	1990	2018,2018,2018,2017,2017,2014,2014,2013,2011	2011	2018
Jasper VAN ABSWOUDE	NED	M	28 Sep 1988	1988	None	None	None
Ties CORTEN	NED	M	15 Aug 1988	1988	None	None	None
Daan HESKES	NED	M	12 Aug 1989	1989	2011	2011	2011
Anouk PELSER	NED	W	10 Jun 1989	1989	None	None	None
Bjorn VAN DEN ENDE	NED	M	10 Jan 1986	1986	2018,2018,2018,2018,2018,2017,2017,2017,2017,2016,2016,2016,2016,2015,2015,2015,2015,2014,2014,2014,2013,2013,2013,2012,2012,2011,2011,2011,2010	2010	2018
Anne ERNEST	NED	W	1 May 1989	1989	None	None	None
Tom DE VISSER	NED	M	31 Aug 1988	1988	2010	2010	2010
David TEN NAPEL	NED	M	18 Aug 1989	1989	2010	2010	2010
Victor CLAERBOUT	NED	M	4 Sep 1992	1992	None	None	None
Eva SPRENGER	NED	W	24 Jun 1993	1993	None	None	None
Jurgen LANGENHORST	NED	M	30 Apr 1988	1988	None	None	None
Tone WIETEN	NED	M	17 Mar 1994	1994	2018,2018,2018,2018,2018,2017,2017,2017,2016,2016,2016,2016,2015,2015,2015,2014,2014,2013	2013	2018
Thijs LENGKEEK	NED	M	5 May 1992	1992	2014,2013	2013	2014
Abe WIERSMA	NED	M	14 Aug 1994	1994	2018,2018,2018,2018,2018,2017,2017,2017,2017,2016,2015,2014,2012,2011	2011	2018
Robin KRAAK	NED	M	30 May 1989	1989	None	None	None
Job HEIDWEILLER	NED	M	25 Jul 1993	1993	2011	2011	2011
Merle NIEHE	NED	W	26 Nov 1993	1993	None	None	None
Bart LUKKES	NED	M	11 Jun 1992	1992	2018,2018,2017,2017,2017,2016,2016,2014,2014,2013,2012,2012,2010	2010	2018
Karien ROBBERS	NED	W	16 Aug 1993	1993	2016,2016,2016,2016,2016,2016,2015,2014,2013,2012,2011,2010	2010	2016
Victor VAN CAMPEN	NED	M	16 Sep 1993	1993	None	None	None
Suzanne ERKELENS	NED	W	25 Jul 1993	1993	None	None	None
Elisabeth HOGERWERF	NED	W	10 Feb 1989	1989	2018,2018,2018,2018,2018,2016,2016,2016,2016,2016,2015,2015,2015,2015,2014,2014,2014,2014,2013,2013,2013,2012,2012,2012,2012,2011,2011,2010	2010	2018
Esmee ETTEMA	NED	W	23 Mar 1988	1988	2010	2010	2010
Grant BAILEY	AUS	M	4 May 1983	1983	2010,2010	2010	2010
Tomislav KARAKAS	CRO	M	18 Jun 1973	1973	2010	2010	2010
Nikola KOLUDER	CRO	M	14 Sep 1987	1987	2011,2010	2010	2011
Silvan BRAGA	BRA	M	1 Mar 1973	1973	2010	2010	2010
Ursa VIZINTIN	SLO	W	6 Jul 1992	1992	None	None	None
Tarin COKELJ	SLO	W	4 Jul 1993	1993	2011,2010,2010	2010	2011
Kaja GRIZON	SLO	W	14 Feb 1994	1994	None	None	None
Erik KASTELIC	SLO	M	2 Oct 1992	1992	None	None	None
Erik RUTAR	SLO	M	16 Sep 1992	1992	2010	2010	2010
Sanja SAVANOVIC	SLO	W	8 Mar 1994	1994	2012	2012	2012
Matjaz SAKELSAK	SLO	M	24 Jan 1991	1991	None	None	None
Marko BOLHA	SLO	M	13 Aug 1991	1991	2018,2018,2017,2017,2016,2016,2015,2014,2014,2013	2013	2018
Luka PANGOS	SLO	M	29 Jul 1994	1994	2012	2012	2012
Patrik PRIBAC	SLO	M	29 Dec 1993	1993	None	None	None
Simon PRIBAC	SLO	M	12 Feb 1992	1992	None	None	None
Miguel CARVALHO TELES	POR	M	8 Nov 1993	1993	None	None	None
Joel DA SILVA TEIXEIRA	POR	M	8 Jun 1993	1993	None	None	None
Antonio DO VALE	POR	M	15 May 1993	1993	None	None	None
Francisco NUNES DE CASTRO	POR	M	22 Oct 1993	1993	None	None	None
Joao RODRIGUES	POR	M	28 Oct 1991	1991	2010	2010	2010
Adriana REBELO MARTINS	POR	W	10 Sep 1992	1992	None	None	None
Joao DA COSTA MAIA	POR	M	5 Nov 1993	1993	None	None	None
Jorge CORREIA CARVALHO	POR	M	6 Dec 1990	1990	2016,2016,2016,2016,2012,2011,2011,2010,2010	2010	2016
Patricia MARQUES DOS SANTOS	POR	W	21 Jan 1993	1993	None	None	None
Joana BRANCO	POR	W	27 Aug 1991	1991	2018,2017,2017,2017	2017	2018
Pedro MOREIRA FONSECA	POR	M	2 Nov 1993	1993	2010	2010	2010
Jorge DINIS DA SILVA	POR	M	28 Oct 1989	1989	None	None	None
Carlos PEREIRA SIMOES	POR	M	10 Aug 1993	1993	2010	2010	2010
Eva GONCALVES ABREU	POR	W	22 Jan 1993	1993	None	None	None
Francisco MESQUITA GONCALVES	POR	M	17 Apr 1993	1993	None	None	None
Miguel BAETA GOMES	POR	M	28 Dec 1993	1993	None	None	None
Joao COSTA GONCALVES	POR	M	22 Jul 1993	1993	2010	2010	2010
Octavio BARBOSA RIBEIRO	POR	M	2 Jul 1992	1992	2013,2010	2010	2013
Sara FREIXO	POR	W	11 Feb 1993	1993	None	None	None
Stephanie VOELZER	GER	W	24 Sep 1993	1993	None	None	None
Shirin BROCKMANN	GER	W	4 Feb 1993	1993	2012,2011,2010	2010	2012
Oliver MITTELSTAEDT	GER	M	23 Apr 1993	1993	2011	2011	2011
Ole DABERKOW	GER	M	23 Apr 1994	1994	2014,2013,2012,2011	2011	2014
Ruben STEINHARDT	GER	M	22 Dec 1993	1993	2018,2018,2018,2018,2017,2017,2017,2014,2013,2010	2010	2018
Stephanie HANG	GER	W	13 Sep 1993	1993	2010	2010	2010
Ursula HORBACH	GER	W	21 Jul 1993	1993	None	None	None
Stephan RIEMEKASTEN	GER	M	13 Jul 1993	1993	2018,2015,2013,2012,2011,2010	2010	2018
Rona SCHULZ	GER	W	5 Feb 1993	1993	2011	2011	2011
Thomas JAEHRLING	GER	M	11 Jun 1991	1991	None	None	None
Rene STUEVEN	GER	M	21 Mar 1993	1993	2017,2017,2015,2014,2013,2011,2010	2010	2017
Steven THIELE	GER	M	12 Nov 1994	1994	None	None	None
Sophia WUELLNER	GER	W	19 Jan 1993	1993	2011	2011	2011
Philip HAGENAU	GER	M	26 Dec 1992	1992	2010	2010	2010
Nils-Ole BOCK	GER	M	4 Aug 1992	1992	2013,2012,2011,2010	2010	2013
Hendrik ONNENGA	GER	M	5 Jun 1993	1993	None	None	None
Marie UHLIG	GER	W	4 Apr 1993	1993	2011,2010	2010	2011
Maximilian FAY	GER	M	22 Apr 1992	1992	2010	2010	2010
Mark KUBALE	GER	M	2 May 1993	1993	None	None	None
Konstantin STEINHUEBEL	GER	M	5 Jan 1990	1990	2018,2018,2018,2016,2016,2016,2015,2015,2015,2014,2014,2014,2014,2013,2013,2013,2013,2012,2011,2010,2010	2010	2018
Frauke BIRGEL	GER	M	2 Dec 1993	1993	None	None	None
Florian LEU	GER	M	7 Jul 1993	1993	None	None	None
Finn SCHROEDER	GER	M	2 Jul 1993	1993	2018,2017,2017,2017,2017,2014,2012,2011,2010	2010	2018
Hannah BORNSCHEIN	GER	W	5 Aug 1992	1992	2018	2018	2018
Jenny MEDOW	GER	W	24 Oct 1992	1992	None	None	None
Jan-Philipp BIRKNER	GER	M	3 Oct 1989	1989	2013,2013,2013,2012,2011	2011	2013
Hannes STAFFELDT	GER	M	25 Jan 1993	1993	2011,2010	2010	2011
Jessica MUESER	GER	W	29 Apr 1992	1992	None	None	None
Kevin STACH	GER	M	6 Mar 1992	1992	2010	2010	2010
Katrin SCHUERMANN	GER	W	24 Nov 1994	1994	None	None	None
Kai FUHRMANN	GER	M	6 Feb 1994	1994	2016,2015,2015,2014,2014,2014,2014,2013,2012,2011	2011	2016
Jonas LOFF	GER	M	12 Sep 1993	1993	None	None	None
Lena KLEMM	GER	W	15 Jun 1993	1993	2011	2011	2011
Leonie SCHEUERMANN	GER	W	6 Jan 1992	1992	2010	2010	2010
Lorena SCHAEFERMAYER	GER	W	11 Aug 1992	1992	None	None	None
Mara KOELKER	GER	W	11 Jun 1993	1993	2012,2011	2011	2012
Malte DABERKOW	GER	M	23 Apr 1994	1994	2016,2015,2015,2014,2012,2011	2011	2016
Luise WAGNER	GER	W	13 Nov 1992	1992	None	None	None
Eva VOGEL	GER	W	17 Jun 1991	1991	None	None	None
Markus BRICH	GER	M	4 Jun 1992	1992	2010	2010	2010
Maximilian SPROESSIG	GER	M	17 Jun 1993	1993	None	None	None
Edorta DE ANTA LECUONA	ESP	M	6 Jul 1971	1971	2012,2011,2011,2010,2010	2010	2012
Peter VAN SCHIE	NED	M	3 Mar 1988	1988	2016,2016,2016,2016,2015,2015,2015,2014,2014,2014,2013,2013,2013,2013,2010	2010	2016
Kai KRUSE	GER	M	19 Aug 1991	1991	2012,2012	2012	2012
Nele ROST	GER	W	27 Sep 1992	1992	None	None	None
Nadine SEEHAUS	GER	W	1 Feb 1993	1993	2011,2010	2010	2011
Moritz BOCK	GER	M	15 Sep 1993	1993	2015,2011	2011	2015
Marisa STAELBERG	GER	W	18 May 1993	1993	2015,2014,2013,2012,2011	2011	2015
Georg FUCHS	GER	M	14 Jul 1990	1990	None	None	None
Caroline DELLESKE	GER	M	11 Sep 1991	1991	None	None	None
Carina BOEHLERT	GER	W	3 May 1993	1993	2015,2015,2014,2013	2013	2015
Clemens BARTH	GER	M	31 May 1992	1992	2010	2010	2010
Dorotea SCHNEIDER	GER	W	9 Mar 1992	1992	None	None	None
Dominik OSWALD	GER	M	8 May 1993	1993	None	None	None
Dirk FLASSNER	GER	M	21 Mar 1993	1993	2011	2011	2011
Daniel LAWITZKE	GER	M	29 Feb 1984	1984	2015,2014,2014,2014,2014,2013,2012,2012,2010,2010	2010	2015
Fabian KLETT	GER	M	8 Sep 1992	1992	None	None	None
Gabriel HAHN	GER	M	1 Oct 1993	1993	None	None	None
Michelle LAUER	GER	W	10 Dec 1993	1993	2011	2011	2011
Katrin SPLITT	GER	W	11 Aug 1977	1977	2012,2012,2011,2011,2010	2010	2012
Paula HAMANN	GER	W	20 Sep 1988	1988	2011	2011	2011
Fabian NEITZEL	GER	M	30 Apr 1986	1986	2011	2011	2011
Clara VON DER GRUEN	GER	W	13 Feb 1984	1984	2011	2011	2011
Maximilian KUNZE	GER	M	22 Sep 1984	1984	2011	2011	2011
Annelie MARX	GER	M	11 May 1993	1993	None	None	None
